T,Open,High,Low,Close,Volume BTC,Volume USD,BV,C,H,L,O,V,P
2014-07-19,626.0,630.0,626.0,630.0,1.56,981.08,4.96529586,0.013976,0.01418819,0.01362001,0.014091,356.52954923,0.0
2014-07-20,630.0,630.0,619.0,619.0,0.5068,318.27,4.8706057000000005,0.01379,0.014,0.01362005,0.013976,354.1126913,0.0
2014-07-21,619.0,629.77,619.0,629.77,0.0006352,0.4,5.16119396,0.01390691,0.01392299,0.01362004,0.0138,376.44047569,0.0
2014-07-22,629.77,629.77,618.69,618.69,8.44,5221.96,15.04356582,0.01393801,0.014,0.01366,0.01391933,1086.18848251,0.0
2014-07-23,618.69,623.98,610.0,618.62,7.5,4587.11,2.00404879,0.0137,0.013963,0.013669999999999998,0.013940000000000001,145.70764979,0.0
2014-07-24,618.62,623.43,593.86,605.64,17.72,10802.13,6.91307332,0.0131,0.01383996,0.013000000000000001,0.013686000000000002,511.13249678,0.0
2014-07-25,605.64,623.22,593.8,596.08,8.67,5275.26,5.47426582,0.01246001,0.01319999,0.01246,0.01302,428.35390465,0.0
2014-07-26,596.08,607.96,593.8,600.0,5.06,3023.58,7.589253299999998,0.01268021,0.01350713,0.01246165,0.01246166,576.82873727,0.0
2014-07-27,600.0,600.0,600.0,600.0,0.1545,92.7,2.75531095,0.01306401,0.01316,0.0124533,0.01289999,213.37753687,0.0
2014-07-28,600.0,600.0,574.58,591.9,4.09,2408.15,3.12563644,0.012844,0.01323,0.0127,0.013130000000000001,240.67087989,0.0
2014-07-29,591.9,597.66,575.07,583.21,2.68,1569.84,2.56832736,0.01312,0.01312001,0.0127,0.01290999,198.56979798,0.0
2014-07-30,583.21,588.98,566.75,566.75,11.67,6730.61,3.48853223,0.01291101,0.01315,0.01272,0.01312,269.75022449,0.0
2014-07-31,566.75,591.95,566.75,590.21,33.05,18997.23,4.35234461,0.01274,0.01306697,0.0125,0.01306697,340.73863809,0.0
2014-08-01,590.21,602.36,584.77,596.4,3.05,1808.65,5.11383563,0.012735,0.013000000000000001,0.0125,0.012811,400.81592174,0.0
2014-08-02,596.4,601.18,590.49,590.49,2.57,1525.89,6.16513373,0.01286,0.01307999,0.012513,0.01265001,481.55835732,0.0
2014-08-03,590.49,594.8,578.86,578.86,1.79,1058.22,3.71779264,0.01273001,0.01299899,0.01263,0.01286,291.98207573,0.0
2014-08-04,578.86,596.25,578.86,596.25,4.11,2427.63,2.59070869,0.0125,0.01289862,0.01246158,0.01289862,205.30610431,0.0
2014-08-05,596.25,598.03,579.0,579.0,9.04,5380.37,4.99892415,0.01231,0.01268,0.012,0.01267099,403.29032515,0.0
2014-08-06,579.0,579.0,579.0,579.0,0.0,0.0,2.53785909,0.01228311,0.01243,0.01208002,0.01231,207.58989529,0.0
2014-08-07,579.0,593.0,577.24,580.58,16.81,9858.05,3.49330774,0.01200177,0.01232745,0.00953602,0.01228311,295.18897965,0.0
2014-08-08,580.58,590.0,580.58,590.0,0.4273,251.93,2.10329069,0.011898100000000002,0.01221899,0.01189801,0.01209999,174.93461975,0.0
2014-08-09,590.0,590.0,578.14,590.0,7.8,4552.34,3.25692679,0.011770000000000001,0.01201205,0.01100001,0.011898100000000002,275.76560028,0.0
2014-08-10,590.0,595.36,583.24,583.24,1.66,976.3,7.96404325,0.011803,0.01196298,0.0116,0.01167913,677.18452506,0.0
2014-08-11,583.24,595.36,572.77,572.77,0.4779,280.24,3.07636508,0.01056401,0.011819,0.00980018,0.01180899,274.77457843,0.0
2014-08-12,572.77,580.0,566.99,580.0,3.82,2179.8,9.59579919,0.009932,0.01051,0.0097,0.01050904,952.55228265,0.0
